time,rate
1981/1/5,1.5418
1981/1/6,1.5264
1981/1/7,1.5264
1981/1/8,1.5264
1981/1/9,1.5371
1981/1/12,1.5371
1981/1/13,1.5449
1981/1/14,1.5449
1981/1/15,1.5449
1981/1/16,1.5557
1981/1/19,1.5557
1981/1/20,1.5557
1981/1/21,1.5557
1981/1/22,1.551
1981/1/23,1.551
1981/1/26,1.5634
1981/1/27,1.5759
1981/1/28,1.5822
1981/1/29,1.5886
1981/1/30,1.5886
1981/2/2,1.6108
1981/2/3,1.6108
1981/2/4,1.6028
1981/2/5,1.6028
1981/2/6,1.6028
1981/2/9,1.6059
1981/2/10,1.6059
1981/2/11,1.6059
1981/2/13,1.6285
1981/2/17,1.6579
1981/2/18,1.6298
1981/2/19,1.6298
1981/2/20,1.6021
1981/2/23,1.5909
1981/2/24,1.6099
1981/2/25,1.6035
1981/2/26,1.6179
1981/2/27,1.6179
1981/3/2,1.6293
1981/3/3,1.6456
1981/3/4,1.6374
1981/3/5,1.6456
1981/3/6,1.6456
1981/3/9,1.6456
1981/3/10,1.6407
1981/3/11,1.6407
1981/3/12,1.6407
1981/3/13,1.6407
1981/3/16,1.6402
1981/3/17,1.6309
1981/3/18,1.6227
1981/3/19,1.6049
1981/3/20,1.6129
1981/3/23,1.6129
1981/3/24,1.6209
1981/3/25,1.6209
1981/3/26,1.6209
1981/3/27,1.6372
1981/3/30,1.6372
1981/3/31,1.6165
1981/4/1,1.6337
1981/4/2,1.6337
1981/4/3,1.6418
1981/4/6,1.65
1981/4/7,1.6599
1981/4/8,1.6483
1981/4/9,1.6483
1981/4/10,1.6565
1981/4/13,1.6565
1981/4/14,1.6682
1981/4/15,1.6682
1981/4/16,1.6798
1981/4/17,1.6798
1981/4/20,1.6798
1981/4/21,1.6798
1981/4/22,1.6798
1981/4/23,1.6798
1981/4/24,1.6798
1981/4/27,1.6798
1981/4/28,1.6798
1981/4/29,1.6798
1981/4/30,1.6882
1981/5/1,1.6882
1981/5/4,1.6882
1981/5/5,1.7085
1981/5/6,1.717
1981/5/7,1.717
1981/5/8,1.717
1981/5/11,1.717
1981/5/12,1.7273
1981/5/13,1.7273
1981/5/14,1.7359
1981/5/15,1.7359
1981/5/18,1.7359
1981/5/19,1.7359
1981/5/20,1.7359
1981/5/21,1.7272
1981/5/22,1.7429
1981/5/26,1.7392
1981/5/27,1.748
1981/5/28,1.748
1981/5/29,1.748
1981/6/1,1.748
1981/6/2,1.7567
1981/6/3,1.7567
1981/6/4,1.7672
1981/6/5,1.7813
1981/6/8,1.7813
1981/6/9,1.7813
1981/6/10,1.7742
1981/6/11,1.7813
1981/6/12,1.7724
1981/6/15,1.7512
1981/6/16,1.7512
1981/6/17,1.7512
1981/6/18,1.7599
1981/6/19,1.7599
1981/6/22,1.7511
1981/6/23,1.7511
1981/6/24,1.7511
1981/6/25,1.7511
1981/6/26,1.7511
1981/6/29,1.7511
1981/6/30,1.7511
1981/7/1,1.7511
1981/7/2,1.7616
1981/7/3,1.7616
1981/7/6,1.7616
1981/7/7,1.7686
1981/7/8,1.7686
1981/7/9,1.7686
1981/7/10,1.7686
1981/7/13,1.7598
1981/7/14,1.751
1981/7/15,1.7598
1981/7/16,1.751
1981/7/17,1.751
1981/7/20,1.7597
1981/7/21,1.7667
1981/7/22,1.7667
1981/7/23,1.7667
1981/7/24,1.7667
1981/7/27,1.7667
1981/7/28,1.7755
1981/7/29,1.7755
1981/7/30,1.7755
